simulation_id,building_id,epw,apartment_count,average_apt_area,levels_count,footprint_size,address
0,399,https://energyplus-weather.s3.amazonaws.com/europe_wmo_region_6/ISL/ISL_Reykjavik.040300_IWEC/ISL_Reykjavik.040300_IWEC.zip,7,94.74675276828759,3,221.07575645933787,Melhagi 24
1,164,https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/THA/THA_Bangkok.484560_IWEC/THA_Bangkok.484560_IWEC.zip,6,136.94750425768322,6,187.5892451253745,99 Lat Phrao Rd
2,2144,https://energyplus-weather.s3.amazonaws.com/europe_wmo_region_6/AUT/AUT_Vienna.Schwechat.110360_IWEC/AUT_Vienna.Schwechat.110360_IWEC.zip,28,102.8005487444514,6,475.88668742215594,Laxenburger Str. 2
3,2922,https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.zip,15,132.11545802279224,4,265.54815013183696,82 Boulevard Al Massira Al Khadra
4,71,https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/SAU/SAU_Riyadh.404380_IWEC/SAU_Riyadh.404380_IWEC.zip,4,215.6617866079184,2,491.1439563594598,7230 Al Nashra
5,2802,https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.zip,36,139.69676917096052,12,520.5133423008494,82 Boulevard Al Massira Al Khadra
6,2803,https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.zip,41,139.49119650807793,12,545.0325723734923,82 Boulevard Al Massira Al Khadra
7,2801,https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.zip,41,139.21782454606372,12,545.5425436255723,82 Boulevard Al Massira Al Khadra
8,2800,https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.zip,36,140.1254722816685,12,519.9496925869668,82 Boulevard Al Massira Al Khadra
9,2086,https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/IND/IND_Mumbai.430030_IWEC/IND_Mumbai.430030_IWEC.zip,17,203.79452468598151,4,1043.9513966421698,Mahakali Caves Rd
10,249,https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/SAU/SAU_Riyadh.404380_IWEC/SAU_Riyadh.404380_IWEC.zip,17,91.86834896576235,6,4.707377646729939,7230 Al Nashra
